Country,Year,Population
Chile,2000,15262754
Chile,2001,15444969
Chile,2002,15623635
Chile,2003,15799542
Chile,2004,15973778
Chile,2005,16147064
Chile,2006,16319792
Chile,2007,16491687
Chile,2008,16661942
Chile,2009,16829442
Chile,2010,16993354
Chile,2011,17153357
Chile,2012,17309746
Chile,2013,17462982
Chile,2014,17613798
Chile,2015,17762681
China,2000,1262645000
China,2001,1271850000
China,2002,1280400000
China,2003,1288400000
China,2004,1296075000
China,2005,1303720000
China,2006,1311020000
China,2007,1317885000
China,2008,1324655000
China,2009,1331260000
China,2010,1337705000
China,2011,1344130000
China,2012,1350695000
China,2013,1357380000
China,2014,1364270000
China,2015,1371220000
Germany,2000,82211508
Germany,2001,82349925
Germany,2002,82488495
Germany,2003,82534176
Germany,2004,82516260
Germany,2005,82469422
Germany,2006,82376451
Germany,2007,82266372
Germany,2008,82110097
Germany,2009,81902307
Germany,2010,81776930
Germany,2011,80274983
Germany,2012,80425823
Germany,2013,80645605
Germany,2014,80982500
Germany,2015,81686611
Mexico,2000,101719673
Mexico,2001,103067068
Mexico,2002,104355608
Mexico,2003,105640453
Mexico,2004,106995583
Mexico,2005,108472228
Mexico,2006,110092378
Mexico,2007,111836346
Mexico,2008,113661809
Mexico,2009,115505228
Mexico,2010,117318941
Mexico,2011,119090017
Mexico,2012,120828307
Mexico,2013,122535969
Mexico,2014,124221600
Mexico,2015,125890949
United States of America,2000,282162411
United States of America,2001,284968955
United States of America,2002,287625193
United States of America,2003,290107933
United States of America,2004,292805298
United States of America,2005,295516599
United States of America,2006,298379912
United States of America,2007,301231207
United States of America,2008,304093966
United States of America,2009,306771529
United States of America,2010,309348193
United States of America,2011,311663358
United States of America,2012,313998379
United States of America,2013,316204908
United States of America,2014,318563456
United States of America,2015,320896618
Zimbabwe,,12222251
Zimbabwe,,12366165
Zimbabwe,,12500525
Zimbabwe,,12633897
Zimbabwe,,12777511
Zimbabwe,,12940032
Zimbabwe,,13124267
Zimbabwe,,13329909
Zimbabwe,,13558469
Zimbabwe,,13810599
Zimbabwe,,14086317
Zimbabwe,,14386649
Zimbabwe,,14710826
Zimbabwe,,15054506
Zimbabwe,,15411675
Zimbabwe,,15777451